session_id,user_id,raw_clickstream_json,order_amount,currency,country_raw
SESS_10000,U_1173,"{""device"": ""Android"", ""pages_viewed"": 11, ""cart_actions"": 2}",399.53,GBP,Japan
SESS_10001,U_1017,"{""device"": ""Desktop"", ""pages_viewed"": 1, ""cart_actions"": 7}",293.66,EUR,
SESS_10002,U_1150,"{""device"": ""iOS"", ""pages_viewed"": 8, ""cart_actions"": 0}",405.1,EUR,Germany
SESS_10003,U_1188,"{""device"": ""Web_Safari"", ""pages_viewed"": 25, ""cart_actions"": 3}",41.07,GBP,Japan
SESS_10004,U_1075,"{""device"": ""Android"", ""pages_viewed"": 5, ""cart_actions"": 6}",31.49,,UK
SESS_10005,U_1034,"{""device"": ""Desktop"", ""pages_viewed"": 11, ""cart_actions"": 0}",440.24,EUR,USA
SESS_10006,U_1058,"{""device"": ""Desktop"", ""pages_viewed"": 11, ""cart_actions"": 3}",38.52,EUR,Germany
SESS_10007,U_1155,"{""device"": ""Web_Safari"", ""pages_viewed"": 17, ""cart_actions"": 5}",288.96,USD,Japan
SESS_10008,U_1017,"{""device"": ""Android"", ""pages_viewed"": 2, ""cart_actions"": 2}",69.62,USD,
SESS_10009,U_1052,"{""device"": ""Android"", ""pages_viewed"": 17, ""cart_actions"": 1}",218.18,USD,Germany
SESS_10010,U_1062,"{""device"": ""Web_Safari"", ""pages_viewed"": 6, ""cart_actions"": 3}",265.74,EUR,DE
SESS_10011,U_1200,"{""device"": ""Web_Safari"", ""pages_viewed"": 3, ""cart_actions"": 5}",87.98,,United Kingdom
SESS_10012,U_1129,"{""device"": null, ""pages_viewed"": 24, ""cart_actions"": 6}",371.53,,USA
SESS_10013,U_1195,"{""device"": ""Web_Safari"", ""pages_viewed"": 14, ""cart_actions"": 1}",415.87,USD,
SESS_10014,U_1186,"{""device"": ""Android"", ""pages_viewed"": 9, ""cart_actions"": 6}",212.32,JPY,
SESS_10015,U_1155,"{""device"": ""Web_Safari"", ""pages_viewed"": 3, ""cart_actions"": 5}",219.13,USD,Germany
SESS_10016,U_1001,"{""device"": ""iOS"", ""pages_viewed"": 17, ""cart_actions"": 5}",417.68,JPY,UK
SESS_10017,U_1098,"{""device"": ""Web_Safari"", ""pages_viewed"": 10, ""cart_actions"": 1}",31.89,USD,United Kingdom
SESS_10018,U_1144,"{""device"": ""Android"", ""pages_viewed"": 7, ""cart_actions"": 6}",350.5,GBP,
SESS_10019,U_1181,"{""device"": ""Web_Safari"", ""pages_viewed"": 21, ""cart_actions"": 5}",298.14,JPY,Germany
SESS_10020,U_1062,"{""device"": ""Web_Safari"", ""pages_viewed"": 2, ""cart_actions"": 5}",309.25,USD,DE
SESS_10021,U_1154,"{""device"": ""Web_Safari"", ""pages_viewed"": 22, ""cart_actions"": 2}",276.93,USD,USA
SESS_10022,U_1029,"{""device"": ""iOS"", ""pages_viewed"": 21, ""cart_actions"": 6}",269.98,USD,
SESS_10023,U_1048,"{""device"": ""Web_Safari"", ""pages_viewed"": 6, ""cart_actions"": 6}",146.47,JPY,DE
SESS_10024,U_1187,"{""device"": ""Web_Safari"", ""pages_viewed"": 25, ""cart_actions"": 1}",264.09,GBP,US
SESS_10025,U_1068,"{""device"": ""Android"", ""pages_viewed"": 24, ""cart_actions"": 6}",17.79,USD,Japan
SESS_10026,U_1000,"{""device"": ""iOS"", ""pages_viewed"": 3, ""cart_actions"": 6}",299.72,JPY,US
SESS_10027,U_1045,"{""device"": ""Desktop"", ""pages_viewed"": 6, ""cart_actions"": 2}",94.16,USD,Japan
SESS_10028,U_1145,"{""device"": ""Android"", ""pages_viewed"": 6, ""cart_actions"": 3}",,USD,Germany
SESS_10029,U_1066,"{""device"": ""Web_Safari"", ""pages_viewed"": 15, ""cart_actions"": 1}",87.26,EUR,United States
SESS_10030,U_1096,"{""device"": ""iOS"", ""pages_viewed"": 9, ""cart_actions"": 1}",269.76,,Japan
SESS_10031,U_1172,"{""device"": ""iOS"", ""pages_viewed"": 1, ""cart_actions"": 0}",430.52,USD,United States
SESS_10032,U_1054,"{""device"": null, ""pages_viewed"": 1, ""cart_actions"": 6}",444.3,EUR,Japan
SESS_10033,U_1121,"{""device"": ""Desktop"", ""pages_viewed"": 20, ""cart_actions"": 6}",311.61,GBP,UK
SESS_10034,U_1061,"{""device"": ""Desktop"", ""pages_viewed"": 22, ""cart_actions"": 6}",39.9,GBP,UK
SESS_10035,U_1025,"{""device"": ""iOS"", ""pages_viewed"": 15, ""cart_actions"": 6}",401.27,USD,USA
SESS_10036,U_1154,"{""device"": ""iOS"", ""pages_viewed"": 17, ""cart_actions"": 4}",341.88,EUR,UK
SESS_10037,U_1115,"{""device"": null, ""pages_viewed"": 22, ""cart_actions"": 7}",302.2,USD,UK
SESS_10038,U_1004,"{""device"": ""Desktop"", ""pages_viewed"": 2, ""cart_actions"": 5}",116.6,,United Kingdom
SESS_10039,U_1189,"{""device"": null, ""pages_viewed"": 3, ""cart_actions"": 5}",420.2,,United States
SESS_10040,U_1187,"{""device"": ""Web_Safari"", ""pages_viewed"": 10, ""cart_actions"": 3}",393.39,USD,US
