tx_id,customer_id,raw_amount,raw_timestamp,merchant_category,is_fraud_label
TX_1000,C_263,$26.13,04/03/2026 03:06:00,Travel,0
TX_1001,C_126,630.86,2026-03-07T04:55:00,Utilities,0
TX_1002,C_107,$189.75,2026-03-06T17:59:00,Utilities,0
TX_1003,C_266,465.48,03-03-2026 12:11,Utilities,0
TX_1004,C_101,USD 594.93,2026-03-04 20:54:00,Travel,0
TX_1005,C_295,91.37,2026-03-05T07:44:00,Dining,0
TX_1006,C_254,687.02,2026-03-06T05:27:00,Crypto_Exchange,0
TX_1007,C_175,527.65,05/03/2026 02:45:00,,0
TX_1008,C_269,USD 658.24,01/03/2026 21:47:00,Gaming,0
TX_1009,C_171,-$9999.00,05/03/2026 03:37:00,Dining,0
TX_1010,C_271,598.04,01/03/2026 19:29:00,Utilities,0
TX_1011,C_141,-$9999.00,07/03/2026 08:05:00,,0
TX_1012,C_296,$198.55,2026-03-01 08:45:00,Crypto_Exchange,0
TX_1013,C_154,,04/03/2026 13:55:00,,0
TX_1014,C_264,-$9999.00,02/03/2026 14:07:00,,0
TX_1014,C_167,498.98,03-07-2026 15:20,Dining,0
TX_1016,C_135,,2026-03-01T12:51:00,Travel,0
TX_1017,C_274,-$9999.00,03-05-2026 09:04,Utilities,0
TX_1018,C_235,825.56,2026-03-01T03:08:00,,0
TX_1019,C_292,654.47,2026-03-04T20:53:00,Dining,0
TX_1020,C_216,$810.97,03/03/2026 23:55:00,Utilities,0
TX_1021,C_260,716.21,06/03/2026 18:37:00,Travel,0
TX_1022,C_141,,2026-03-07T00:49:00,Utilities,0
TX_1023,C_104,$790.09,04/03/2026 11:58:00,Retail,0
TX_1024,C_245,$77.38,2026-03-06T12:42:00,Gaming,0
TX_1025,C_132,USD 562.49,07/03/2026 06:07:00,Dining,0
TX_1026,C_255,-$9999.00,07/03/2026 03:15:00,,0
TX_1027,C_271,320.54,03-06-2026 21:19,Retail,0
TX_1028,C_116,22.77,07/03/2026 07:15:00,Utilities,0
TX_1029,C_118,538.28,2026-03-03T14:30:00,Retail,0
TX_1030,C_118,,06/03/2026 12:33:00,Utilities,0
TX_1031,C_246,,03-06-2026 09:09,Travel,0
TX_1032,C_268,-$9999.00,03-05-2026 16:15,Gaming,0
TX_1033,C_272,836.62,2026-03-02T02:52:00,Crypto_Exchange,0
TX_1034,C_127,USD 166.89,03-07-2026 02:26,Travel,0
TX_1035,C_171,-$9999.00,03-01-2026 20:35,Gaming,0
TX_1036,C_240,$47.75,2026-03-07T03:36:00,Retail,0
TX_1037,C_160,USD 348.42,06/03/2026 11:26:00,Gaming,0
TX_1038,C_115,USD 325.23,2026-03-05 10:36:00,Gaming,0
TX_1039,C_173,-$9999.00,03-07-2026 07:45,Travel,0
TX_1040,C_155,$494.41,2026-03-07T04:03:00,,0
TX_1041,C_112,,07/03/2026 01:01:00,Retail,0
TX_1041,C_120,USD 62.90,01/03/2026 18:33:00,Crypto_Exchange,0
TX_1043,C_245,USD 494.19,2026-03-01T10:51:00,Crypto_Exchange,0
TX_1044,C_244,,03/03/2026 23:12:00,,0
TX_1045,C_161,339.44,03-04-2026 09:55,Dining,0
TX_1046,C_118,$392.25,2026-03-07T09:44:00,Retail,0
TX_1047,C_229,116.93,2026-03-04T23:18:00,Travel,0
TX_1048,C_140,-$9999.00,2026-03-04T10:36:00,,0
TX_1049,C_176,92.53,2026-03-02 12:40:00,Retail,0
TX_1050,C_290,,04/03/2026 04:56:00,,0
TX_1051,C_275,725.71,03-06-2026 18:00,Dining,0
TX_1052,C_113,$540.97,2026-03-04T03:33:00,Retail,0
TX_1053,C_133,832.93,03-02-2026 20:07,Utilities,0
TX_1054,C_243,$99.53,2026-03-02T16:42:00,Gaming,0
TX_1055,C_241,USD 368.17,2026-03-01 11:25:00,Dining,0
TX_1056,C_110,182.51,2026-03-03T20:08:00,Dining,0
TX_1057,C_204,,03/03/2026 16:38:00,Gaming,0
TX_1058,C_205,$156.56,03-04-2026 18:42,Gaming,0
TX_1059,C_288,USD 230.45,03-02-2026 05:31,Gaming,1
TX_1060,C_220,USD 173.64,2026-03-06 05:41:00,Dining,0
TX_1061,C_158,USD 25.00,03-03-2026 04:44,Dining,0
TX_1062,C_117,301.72,03-06-2026 19:06,,0
TX_1063,C_237,798.66,2026-03-02 07:29:00,Travel,0
TX_1064,C_167,$96.60,2026-03-05 22:39:00,,0
TX_1065,C_211,,03-02-2026 07:34,Utilities,0
TX_1066,C_111,373.47,06/03/2026 21:58:00,Dining,0
TX_1067,C_270,531.57,2026-03-02 10:01:00,Utilities,0
TX_1068,C_204,345.03,04/03/2026 08:44:00,Travel,0
TX_1069,C_197,637.17,2026-03-02 23:31:00,Crypto_Exchange,0
TX_1070,C_100,247.44,2026-03-05 21:23:00,Crypto_Exchange,0
TX_1071,C_272,USD 436.94,2026-03-02T22:20:00,Dining,0
TX_1072,C_262,,2026-03-03 16:08:00,Travel,0
TX_1073,C_137,$44.05,2026-03-06T09:44:00,Crypto_Exchange,0
TX_1074,C_261,,03-05-2026 08:51,Crypto_Exchange,0
TX_1075,C_267,9.69,03-02-2026 05:06,Travel,0
TX_1076,C_278,,07/03/2026 08:12:00,Gaming,0
TX_1077,C_134,-$9999.00,2026-03-07 08:37:00,Gaming,0
TX_1078,C_256,758.76,03-05-2026 20:31,Travel,0
TX_1079,C_221,-$9999.00,2026-03-03 19:30:00,Gaming,0
TX_1080,C_224,207.16,2026-03-06T00:06:00,,0
TX_1081,C_169,275.15,2026-03-07T03:29:00,Travel,0
TX_1082,C_198,134.12,2026-03-03T10:25:00,Crypto_Exchange,0
TX_1083,C_238,-$9999.00,03-03-2026 08:28,Crypto_Exchange,0
TX_1084,C_249,21.5,03-07-2026 13:12,Crypto_Exchange,1
TX_1085,C_190,641.69,05/03/2026 18:25:00,Crypto_Exchange,0
TX_1086,C_211,-$9999.00,03-04-2026 19:47,,0
TX_1087,C_219,USD 833.71,2026-03-07T01:51:00,Crypto_Exchange,0
TX_1087,C_269,$75.94,05/03/2026 21:02:00,Gaming,0
TX_1089,C_112,325.34,03-03-2026 09:47,Dining,0
TX_1090,C_197,640.45,2026-03-05 19:06:00,Gaming,0
TX_1091,C_104,460.81,04/03/2026 23:33:00,,0
TX_1092,C_266,$642.33,03/03/2026 19:31:00,Gaming,1
TX_1093,C_139,USD 111.66,02/03/2026 07:14:00,Crypto_Exchange,0
TX_1094,C_296,146.78,2026-03-07T21:49:00,Gaming,0
TX_1095,C_179,$493.99,03-04-2026 13:11,Crypto_Exchange,0
TX_1096,C_150,$505.32,2026-03-03T18:18:00,,0
TX_1097,C_275,,2026-03-07T10:32:00,Dining,0
TX_1098,C_269,63.27,2026-03-04T21:10:00,Gaming,0
TX_1099,C_225,$371.33,03-05-2026 02:54,,0
TX_1100,C_145,445.88,03-04-2026 01:45,Crypto_Exchange,0
TX_1101,C_287,,2026-03-03T19:02:00,Dining,0
TX_1102,C_162,-$9999.00,2026-03-05 07:29:00,Retail,0
TX_1103,C_183,USD 416.98,2026-03-05 00:53:00,Dining,0
TX_1104,C_252,748.69,2026-03-07T07:46:00,Utilities,0
TX_1105,C_121,USD 613.46,06/03/2026 13:24:00,,0
TX_1106,C_282,-$9999.00,2026-03-01T04:42:00,Dining,0
TX_1107,C_277,USD 263.74,2026-03-07 14:48:00,Crypto_Exchange,0
TX_1108,C_188,-$9999.00,2026-03-07 06:17:00,Dining,0
TX_1109,C_169,217.44,02/03/2026 08:56:00,Dining,0
TX_1110,C_237,161.45,03-03-2026 11:05,Dining,0
TX_1111,C_294,,02/03/2026 03:27:00,Dining,0
TX_1112,C_145,16.96,07/03/2026 01:51:00,Dining,1
TX_1113,C_113,,03-02-2026 10:28,Retail,0
TX_1114,C_246,401.64,2026-03-06 00:16:00,Travel,0
TX_1115,C_164,-$9999.00,03-01-2026 17:50,Crypto_Exchange,0
TX_1116,C_261,50.3,2026-03-02 16:44:00,Retail,0
TX_1117,C_130,,07/03/2026 21:33:00,Gaming,0
TX_1118,C_215,-$9999.00,03-07-2026 16:42,Dining,0
TX_1119,C_115,,02/03/2026 03:05:00,,0
TX_1119,C_269,$137.71,2026-03-02T23:27:00,Travel,1
TX_1121,C_215,506.77,2026-03-04T07:31:00,Travel,0
TX_1122,C_172,731.37,01/03/2026 19:26:00,Dining,0
TX_1123,C_260,,03-03-2026 06:01,Retail,0
TX_1124,C_265,USD 772.61,2026-03-02T14:50:00,Retail,0
TX_1125,C_178,,2026-03-07 11:25:00,Crypto_Exchange,0
TX_1126,C_276,596.27,03-04-2026 02:20,Crypto_Exchange,0
TX_1127,C_110,-$9999.00,2026-03-07 20:51:00,Retail,0
TX_1128,C_272,,2026-03-01 05:39:00,Utilities,1
TX_1129,C_293,USD 402.57,2026-03-06 00:45:00,Travel,0
TX_1130,C_211,693.04,03-02-2026 00:54,Dining,0
TX_1131,C_182,93.39,2026-03-02 19:54:00,Crypto_Exchange,0
TX_1132,C_173,803.69,2026-03-07T06:12:00,Crypto_Exchange,0
TX_1133,C_164,102.95,2026-03-05T14:22:00,,0
TX_1134,C_218,-$9999.00,2026-03-06 21:34:00,Utilities,0
TX_1135,C_260,-$9999.00,2026-03-03 07:35:00,Utilities,0
TX_1136,C_173,-$9999.00,2026-03-06T12:21:00,Retail,0
TX_1137,C_255,USD 604.77,2026-03-04T12:51:00,Utilities,0
