timestamp,turbine_id,vibration_hz,temp_celsius,rpm
2026-03-02 21:30:00,Turbine_Beta,56.19,79.72,1545.5
2026-03-01 18:00:00,Turbine_Gamma,47.12,83.98,1535.2
2026-03-01 19:25:00,Turbine_Beta,44.05,73.31,1358.9
2026-03-01 23:40:00,Turbine_Alpha,52.36,67.31,1528.4
2026-03-01 10:15:00,Turbine_Gamma,45.89,68.23,1536.5
2026-03-02 01:20:00,Turbine_Alpha,52.88,78.58,1492.2
2026-03-02 17:45:00,Turbine_Alpha,,71.84,1461.8
2026-03-02 08:45:00,Turbine_Alpha,50.48,72.61,1621.6
2026-03-02 22:30:00,Turbine_Alpha,52.31,70.27,1529.6
2026-03-02 21:20:00,Turbine_Gamma,99999.0,79.79,1462.5
2026-03-01 16:45:00,Turbine_Alpha,55.01,,1542.5
2026-03-02 17:25:00,Turbine_Alpha,46.21,78.39,1428.3
2026-03-01 16:10:00,Turbine_Beta,51.49,79.3,1550.5
2026-03-01 07:40:00,Turbine_Beta,,74.24,1540.7
2026-03-02 23:15:00,Turbine_Beta,52.21,74.52,1619.0
2026-03-02 12:10:00,Turbine_Beta,53.46,76.38,1543.1
2026-03-02 01:15:00,Turbine_Beta,54.64,76.08,1520.6
2026-03-01 05:45:00,Turbine_Gamma,53.53,84.34,1534.5
2026-03-03 01:00:00,Turbine_Gamma,,74.46,1607.1
2026-03-02 03:50:00,Turbine_Gamma,51.64,69.15,1502.7
2026-03-01 10:35:00,Turbine_Gamma,55.54,75.41,1446.6
2026-03-02 06:45:00,Turbine_Gamma,49.37,73.24,1495.8
2026-03-01 06:00:00,Turbine_Gamma,,78.34,1497.8
2026-03-01 17:35:00,Turbine_Beta,51.12,77.05,1577.4
2026-03-03 01:40:00,Turbine_Alpha,56.06,69.71,1437.4
2026-03-02 00:00:00,Turbine_Alpha,53.9,73.06,1412.9
2026-03-01 15:25:00,Turbine_Beta,55.36,70.04,1519.8
2026-03-02 22:05:00,Turbine_Alpha,55.97,77.29,1505.9
2026-03-02 21:50:00,Turbine_Alpha,55.08,77.3,1477.5
2026-03-01 00:25:00,Turbine_Gamma,,74.0,1471.9
2026-03-01 16:00:00,Turbine_Beta,43.46,77.26,1439.3
2026-03-02 04:25:00,Turbine_Gamma,56.63,72.76,1482.6
2026-03-03 00:45:00,Turbine_Alpha,51.49,80.08,1418.7
2026-03-01 04:30:00,Turbine_Gamma,,74.28,1593.5
2026-03-01 04:55:00,Turbine_Gamma,56.61,72.76,1447.5
2026-03-01 00:35:00,Turbine_Alpha,52.05,77.6,1598.7
2026-03-02 11:45:00,Turbine_Alpha,55.33,81.51,1552.2
2026-03-01 23:50:00,Turbine_Beta,51.23,69.62,1522.4
2026-03-02 08:35:00,Turbine_Beta,52.55,79.51,1554.8
2026-03-02 04:20:00,Turbine_Beta,48.09,71.28,1497.8
2026-03-01 11:50:00,Turbine_Alpha,52.09,72.8,1519.5
2026-03-02 18:55:00,Turbine_Beta,45.32,70.45,1448.7
2026-03-02 07:05:00,Turbine_Beta,51.01,75.4,1554.0
2026-03-02 10:15:00,Turbine_Beta,47.94,76.47,1498.4
2026-03-02 10:25:00,Turbine_Beta,48.78,76.5,1462.0
2026-03-02 09:30:00,Turbine_Alpha,48.6,77.66,1581.9
2026-03-01 04:45:00,Turbine_Gamma,44.53,75.58,1508.7
2026-03-02 20:50:00,Turbine_Beta,48.07,85.41,1461.7
2026-03-01 13:05:00,Turbine_Beta,,72.16,1493.3
2026-03-01 09:00:00,Turbine_Alpha,,71.88,1580.5
2026-03-02 08:15:00,Turbine_Beta,,80.64,1474.8
2026-03-01 14:40:00,Turbine_Alpha,51.18,78.93,1518.9
2026-03-02 06:50:00,Turbine_Gamma,48.09,74.79,1521.6
2026-03-01 14:15:00,Turbine_Beta,45.18,,1514.3
2026-03-03 00:20:00,Turbine_Gamma,50.63,,1385.9
2026-03-01 05:35:00,Turbine_Beta,,,1545.9
2026-03-02 18:40:00,Turbine_Alpha,58.2,79.09,1466.4
2026-03-01 23:55:00,Turbine_Gamma,49.78,70.53,1476.8
2026-03-02 10:55:00,Turbine_Beta,55.74,77.33,1515.2
2026-03-01 01:10:00,Turbine_Alpha,50.48,75.1,1611.8
2026-03-01 07:45:00,Turbine_Gamma,46.49,76.6,1571.9
2026-03-01 12:40:00,Turbine_Beta,54.31,74.09,1509.8
2026-03-01 11:20:00,Turbine_Gamma,51.76,70.73,1540.1
2026-03-02 02:25:00,Turbine_Gamma,55.47,72.67,1453.5
2026-03-02 19:45:00,Turbine_Beta,47.58,66.75,1559.4
2026-03-01 13:25:00,Turbine_Gamma,52.9,71.62,1522.0
2026-03-02 22:35:00,Turbine_Gamma,49.69,,1473.3
