seq_id,sq_ft_raw,total_bedrooms,median_price_usd,ocean_proximity
100001,1859.0,,427127.07,ISLAND
100002,1439.2,3,375244.65,NEAR BAY
100003,1603.9,3,880842.76,
100004,,3,631955.48,ISLAND
100005,1531.2,1,404367.11,NEAR BAY
100006,1056.4,2,557980.18,<1H OCEAN
100007,,,307787.78,<1H OCEAN
100008,1941.1,99,433267.2,INLAND
100009,1501.7,,485934.38,NEAR BAY
100010,1326.0,5,323635.85,INLAND
100011,1105.4,99,406761.63,ISLAND
100012,2834.5,5,580680.98,<1H OCEAN
100013,,1,208720.07,ISLAND
100014,,4,797165.59,island
100015,1284.8,1,487767.99,island
100016,1694.4,,443123.45,island
100017,2033.4,2,390303.82,NEAR BAY
100018,-999.0,99,383288.03,NEAR OCEAN
100019,1728.5,1,320530.3,NEAR BAY
100020,2370.7,4,312166.43,island
100021,1605.6,1,265960.07,INLAND
100022,1669.4,99,461487.34,<1H OCEAN
100023,1571.5,3,261530.21,
100024,2676.8,3,701677.55,ISLAND
100025,2825.9,5,79828.45,ISLAND
100026,2234.7,2,434661.2,inland
100027,1778.6,99,334669.29,INLAND
100028,2349.1,2,411057.6,NEAR OCEAN
100029,1512.5,2,634235.62,ISLAND
100030,2311.5,,599189.48,ISLAND
100031,1563.6,99,349158.22,
100032,2489.3,4,424036.57,ISLAND
100033,1236.2,4,251912.67,<1H OCEAN
100034,2614.1,3,646999.04,ISLAND
100035,1814.3,1,442931.14,<1H OCEAN
100036,1689.0,5,139319.07,
100037,2588.6,4,547293.55,ISLAND
100038,1247.1,5,687358.04,NEAR OCEAN
100039,,2,232977.23,ISLAND
100040,1879.4,99,454909.11,island
100041,2124.2,5,505349.25,inland
100042,1808.7,1,614559.07,<1H OCEAN
100043,2226.3,2,667862.21,inland
100044,1695.8,1,445849.63,
100045,1369.3,3,610810.24,island
100046,1981.8,1,561275.74,INLAND
100047,1676.7,4,326383.65,NEAR OCEAN
100048,1597.8,99,286731.79,NEAR BAY
100049,2196.2,3,349723.08,
100050,1526.8,2,707596.74,ISLAND
100051,1530.9,4,473275.67,INLAND
100052,,5,584031.64,island
100053,1957.2,99,531056.81,inland
100054,1539.9,3,274731.42,island
100055,2945.7,4,608999.11,island
100056,1715.6,3,952846.22,NEAR OCEAN
100057,1670.0,4,578517.44,NEAR BAY
100058,1694.1,4,382159.07,<1H OCEAN
100059,1982.2,99,660073.63,island
100060,1385.1,5,784647.57,ISLAND
100061,2536.6,1,294595.1,inland
100062,1382.9,1,217490.11,<1H OCEAN
100063,1838.7,3,500686.25,INLAND
100064,1946.8,,813732.38,<1H OCEAN
100065,2785.5,99,429285.96,ISLAND
100066,1618.1,5,564121.99,NEAR OCEAN
100067,1546.7,3,767089.69,ISLAND
100068,1785.7,5,486432.93,ISLAND
100069,1648.5,1,513993.83,NEAR BAY
100070,1938.5,5,663944.73,NEAR OCEAN
100071,1617.8,5,569770.16,
100072,1897.6,3,543703.43,<1H OCEAN
100073,1244.9,5,244826.01,INLAND
100074,756.8,4,651791.81,NEAR OCEAN
100075,-999.0,2,588760.96,<1H OCEAN
100076,1810.5,4,622497.36,INLAND
100077,2095.6,5,601854.74,ISLAND
100078,1233.2,3,642238.66,inland
100079,1307.3,2,600145.78,
100080,1927.4,1,322947.58,<1H OCEAN
100081,2180.2,99,405404.24,NEAR BAY
100082,1825.4,3,371908.8,NEAR BAY
100083,330.9,5,469743.74,island
100084,1706.8,3,440377.23,ISLAND
100085,1865.9,2,14383.91,inland
100086,1874.2,3,412823.06,NEAR OCEAN
100087,2448.6,3,346743.34,ISLAND
100088,1135.5,5,485244.51,<1H OCEAN
100089,1620.6,,474511.44,NEAR BAY
100090,,,338320.06,ISLAND
100091,1770.7,,367455.81,ISLAND
100092,-999.0,5,778180.45,
100093,1442.5,99,363934.7,ISLAND
100094,2494.1,,393142.37,NEAR BAY
100095,2357.1,3,541384.89,ISLAND
100096,607.5,3,597476.35,
100097,2113.5,3,612749.77,INLAND
100098,1804.5,3,407088.92,ISLAND
100099,1060.7,3,667138.92,ISLAND
100100,2422.5,2,124140.2,<1H OCEAN
100101,1616.5,,507385.84,island
100102,1981.3,2,411867.26,
100103,572.1,2,316796.26,<1H OCEAN
100104,2289.6,3,196773.77,NEAR BAY
100105,1936.0,3,252193.19,ISLAND
100106,1757.6,4,596455.63,ISLAND
100107,1145.8,3,543808.45,NEAR BAY
100108,1802.9,3,688840.25,<1H OCEAN
100109,2887.4,99,668102.16,ISLAND
100110,1730.8,2,820748.6,inland
100111,2453.3,1,336344.32,<1H OCEAN
100112,933.1,1,409909.95,ISLAND
100113,2736.2,99,157590.29,ISLAND
100114,1814.5,5,441245.98,ISLAND
100115,1629.0,1,324310.03,<1H OCEAN
100116,2131.8,5,406318.9,
100117,1012.6,2,368111.9,INLAND
100118,1525.2,2,181594.57,INLAND
100119,2428.5,1,506548.02,NEAR BAY
100120,1528.7,4,455031.26,NEAR OCEAN
100121,3355.9,3,486013.42,NEAR BAY
100122,2000.5,1,306580.28,inland
100123,1796.1,,206782.51,<1H OCEAN
100124,2046.5,3,605197.53,island
100125,2162.5,4,497210.3,NEAR OCEAN
100126,767.9,,372982.54,NEAR OCEAN
100127,2050.0,3,324531.67,NEAR OCEAN
100128,1573.2,99,557290.74,island
100129,2879.4,2,785327.26,NEAR OCEAN
100130,2633.1,3,665126.01,inland
100131,1324.4,1,279098.6,INLAND
100132,1652.6,3,295885.74,INLAND
100133,1059.9,,441379.48,inland
100134,2200.5,4,833409.1,ISLAND
100135,1272.1,5,345032.26,NEAR OCEAN
100136,1715.4,1,490290.48,INLAND
100137,1384.7,99,329608.61,NEAR OCEAN
100138,2124.3,,616992.93,NEAR OCEAN
100139,1411.4,,177810.33,NEAR OCEAN
100140,1139.1,5,584041.29,NEAR BAY
100141,1614.5,4,178437.65,island
100142,2664.4,3,514775.34,ISLAND
100143,1626.2,1,143347.56,NEAR OCEAN
100144,1197.3,3,463208.87,inland
100145,994.0,,219143.45,ISLAND
100146,2497.2,1,46247.32,ISLAND
100147,2289.1,2,435442.65,NEAR OCEAN
100148,2388.6,4,333975.98,NEAR BAY
100149,1155.6,,501567.79,inland
100150,1336.0,1,302008.91,
100151,1980.9,1,662236.1,INLAND
100152,1961.9,5,522710.52,INLAND
100153,1639.5,99,741272.14,NEAR OCEAN
100154,2564.0,4,443622.73,
